,node_from,node_to
0,29083,6201
1,29083,1472
2,29083,22668
3,29083,9369
4,29083,18
5,22224,29083
6,22224,6971
7,22224,13583
8,22224,13836
9,22224,27202
10,9035,22224
11,9035,12931
12,9035,12718
13,9035,3063
14,9035,25929
15,22815,29083
16,22815,19393
17,22815,31018
18,22815,13836
19,22815,28969
20,21791,22815
21,21791,870
22,21791,23285
23,21791,22906
24,21791,14625
25,8085,29083
26,8085,13045
27,8085,4796
28,8085,16554
29,8085,23728
30,18728,8085
31,18728,458
32,18728,18772
33,18728,852
34,18728,10722
35,27421,22224
36,27421,20621
37,27421,15
38,27421,7321
39,27421,18466
40,12941,29083
41,12941,13583
42,12941,18932
43,12941,24555
44,12941,13836
45,24347,12941
46,24347,29490
47,24347,2308
48,24347,25757
49,24347,16863
50,6971,29083
51,6971,13583
52,6971,26131
53,6971,27202
54,3066,6971
55,3066,12279
56,3066,6899
57,3066,21302
58,3066,28858
59,22101,29083
60,22101,24555
61,22101,27202
62,22101,21277
63,22101,11971
64,4589,22101
65,4589,18119
66,4589,13256
67,4589,10565
68,4589,24579
69,31989,12941
70,31989,24613
71,31989,7839
72,31989,10053
73,31989,29593
74,8629,29083
75,8629,21715
76,8629,16554
77,8629,29005
78,11325,8629
79,11325,21224
80,11325,4749
81,11325,1085
82,11325,23743
83,24613,12941
84,24613,7839
85,24613,2565
86,24613,10053
87,21715,29083
88,21715,4796
89,21715,19393
90,21715,28969
91,13768,21715
92,13768,13476
93,13768,8822
94,13768,5729
95,13768,22013
96,18371,29083
97,18371,18221
98,18371,11528
99,18371,22022
100,18371,24749
101,32070,18371
102,32070,24737
103,32070,9338
104,32070,31857
105,32070,17166
106,30657,22224
107,30657,12718
108,30657,9768
109,30657,794
110,30657,1668
111,11120,29083
112,11120,18932
113,11120,24555
114,11120,11971
115,4036,11120
116,4036,25449
117,4036,20520
118,4036,26700
119,4036,31868
120,4464,22224
121,4464,23158
122,4464,2877
123,4464,30584
124,4464,13502
125,13583,29083
126,13583,24555
127,13583,27202
128,13583,21277
129,14520,13583
130,14520,8645
131,14520,27445
132,14520,24936
133,14520,22735
134,14730,21715
135,14730,27586
136,14730,9385
137,14730,28034
138,14730,21613
139,29604,29083
140,29604,26038
141,29604,9979
142,29604,13716
143,29604,23265
144,10916,29604
145,10916,5860
146,10916,9966
147,10916,4053
148,10916,5641
149,30979,22224
150,30979,9214
151,30979,2961
152,30979,21972
153,30979,10530
154,1300,12941
155,1300,27065
156,1300,19454
157,1300,25102
158,1300,24004
159,1423,13583
160,1423,26755
161,1423,10590
162,1423,11088
163,1423,17708
164,18932,29083
165,18932,24555
166,18932,21277
167,4427,18932
168,4427,29036
169,4427,16840
170,4427,17203
171,4427,14323
172,20621,22224
173,20621,15
174,20621,7321
175,20621,24128
176,18326,8085
177,18326,14517
178,18326,29895
179,18326,852
180,18326,27469
181,13045,29083
182,13045,16554
183,13045,31218
184,13045,23265
185,16238,13045
186,16238,4689
187,16238,6131
188,16238,3261
189,16238,14605
190,588,29083
191,588,6507
192,588,17745
193,588,15352
194,588,25941
195,12270,588
196,12270,4049
197,12270,28749
198,12270,23484
199,12270,15228
200,26131,29083
201,26131,18221
202,26131,24749
203,12279,26131
204,12279,22044
205,12279,6899
206,12279,27829
207,12279,21302
208,21146,22224
209,21146,15263
210,21146,30743
211,21146,27388
212,21146,23309
213,18221,29083
214,18221,5342
215,18221,24749
216,24153,18221
217,24153,9549
218,24153,22599
219,24153,18048
220,24153,8488
221,23791,13583
222,23791,8645
223,23791,20450
224,23791,24936
225,23791,23870
226,5342,29083
227,5342,2152
228,5342,11525
229,5342,7242
230,5342,24749
231,10621,5342
232,10621,22005
233,10621,4483
234,10621,11125
235,10621,3184
236,11613,29604
237,11613,21465
238,11613,3540
239,11613,21511
240,11613,7956
241,4049,588
242,4049,15808
243,4049,3181
244,4049,5418
245,4049,124
246,14728,22224
247,14728,30673
248,14728,2870
249,14728,12602
250,14728,7933
251,26307,29083
252,26307,25734
253,26307,4517
254,26307,23728
255,26307,16324
256,19050,26307
257,19050,24725
258,19050,29720
259,19050,25759
260,19050,8861
261,25173,22224
262,25173,27381
263,25173,11571
264,25173,9169
265,25173,32033
266,4796,29083
267,4796,19393
268,4796,28969
269,4796,23728
270,18421,4796
271,18421,7014
272,18421,7698
273,18421,21234
274,18421,15240
275,16554,29083
276,16554,29005
277,12779,16554
278,12779,1032
279,12779,26992
280,12779,13665
281,12779,9954
282,23602,29083
283,23602,27202
284,23602,11528
285,23602,22022
286,467,23602
287,467,2848
288,467,21632
289,467,30874
290,467,18514
291,25793,22815
292,25793,6358
293,25793,1123
294,25793,30167
295,25793,8106
296,24555,29083
297,24555,21277
298,14832,24555
299,14832,1817
300,14832,21137
