,0,1,2,3,4
0,0,0,35216,1374,0.489755232
1,0,0,5588,381,0.479179698
2,0,0,61246,4687,0.461115266
3,0,0,117,357,0.518312301
4,0,0,0,0,0.475829066
5,7,0,29098,282.0889265,0.512768179
6,0,0,3108,1487,0.468414528
7,0,0,2263,219,0.438968559
8,0,0,9873,422,0.475829066
9,0,0,3006,270,0.51756924
10,0,0,5404,145,0.485890541
11,0,0,16733,413,0.46564235
12,0,0,1005,639,0.476524205
13,0,0,982,626,0.436901926
14,0,0,14435,798,0.438968559
15,0,0,4459,379,0.468336423
16,0,0,334,271,0.57262344
17,0,0,1630,742,0.487602257
18,266,10,5212252,973.8899623,0.484284452
19,0,0,1340,205,0.468414528
20,0,0,3183,1082,0.485890541
21,0,0,359,279,0.453062853
22,0,0,0,0,0.438968559
23,0,0,224,143,0.478211949
24,4402,29,5697038,1214.868949,0.486962374
25,0,0,824,785,0.46564235
26,0,0,81,14,0.46564235
27,0,0,1110,638,0.438968559
28,0,0,16,396,0.438968559
29,0,0,139,198,0.492578724
30,0,0,214,103,0.46564235
31,0,0,147,31,0.545614955
32,0,0,87,39,0.487720667
33,0,0,476015,3155,0.475722733
34,0,0,185,40,0.489755232
35,0,0,184,180,0.469926506
36,0,0,2409,203,0.487720667
37,0,0,2132,514,0.487720667
38,0,0,38,30,0.485890541
39,0,0,16693,215.3800663,0.518312301
40,0,0,5012,462,0.469926506
41,0,0,1602,491,0.476524205
42,0,0,65378,6426,0.486962374
43,0,0,5788,427,0.438968559
44,0,0,3766,584,0.46564235
45,0,0,341,445,0.469926506
46,0,0,354,141,0.469926506
47,0,0,345,70,0.438968559
48,0,0,1409,221,0.443323077
49,0,0,514,1307,0.436901926
50,0,0,70,10,0.453062853
51,0,0,1143,918,0.438968559
52,0,0,197,297,0.475722733
53,0,0,305,270,0.492578724
54,0,0,84,112,0.518312301
55,0,0,158,27,0.478161871
56,0,0,46,59,0.438968559
57,0,0,133,24,0.475587014
58,0,0,148,146,0.487720667
59,0,0,104,162,0.478161871
60,0,0,2772,1886,0.450508115
61,0,0,1540,668,0.443323077
62,0,0,3263,150,0.468336423
63,0,0,131,311,0.487602257
64,0,0,0,0,0.487602257
65,0,0,2013,26,0.429730423
66,0,0,79,125,0.469926506
67,0,0,15153,2661,0.450508115
68,5,0,28644,503.4304847,0.476715452
69,0,0,49609,1471,0.476715452
70,0,0,1978,153,0.476715452
71,0,0,12147,483,0.492578724
72,0,0,3171,513,0.468336423
73,0,0,214,91,0.487602257
74,0,0,0,0,0.476524205
75,0,0,20293,868,0.469926506
76,0,0,39400,864,0.475829066
77,0,0,1034,136,0.469356619
78,0,0,20047,2198,0.450508115
79,0,0,150,1081,0.475829066
80,0,0,6109,1283,0.450508115
81,0,0,132,81,0.483283728
82,0,0,577,189,0.51756924
83,0,0,226,110,0.476715452
84,0,0,2701,206,0.461115266
85,0,0,34674,1619,0.450508115
86,0,0,1652,3,0.489755232
87,0,0,2231,838,0.468336423
88,0,0,4641,1419,0.468414528
89,0,0,2660,262,0.478211949
90,0,0,71,200,0.469926506
91,0,0,37,148,0.438968559
92,0,0,461,190,0.469926506
93,0,0,40,29,0.489755232
94,0,0,490,178,0.443323077
95,35,2,1156649,927.764986,0.436901926
96,0,0,1786,68,0.471721519
97,0,0,371,229,0.475829066
98,0,0,634,219,0.475829066
99,0,0,20,59,0.475829066
100,0,0,519,356,0.478161871
101,0,0,16706,434,0.485890541
102,0,0,124,25,0.438968559
103,0,0,278,31,0.505964843
104,0,0,13561,749,0.46564235
105,0,0,484,444,0.475829066
106,0,0,1595,308,0.475829066
107,0,0,3635,914,0.478161871
108,0,0,1511,415,0.472592442
109,0,0,4786,182.4812948,0.438968559
110,0,0,24058,1276,0.484284452
111,0,0,1564,587,0.468414528
112,0,0,14795,1299,0.476524205
113,0,0,53,103,0.478161871
114,0,0,3571,299,0.475722733
115,0,0,45655,533,0.485890541
116,0,0,7611,836,0.468414528
117,4,0,47925,240.819902,0.487720667
118,0,0,27186,914,0.475722733
119,0,0,420,170,0.469356619
120,0,0,6447,568,0.469356619
121,0,0,24,1,0.469356619
122,0,0,13098,367,0.487720667
123,0,0,187,232,0.462102633
124,0,0,20293,907,0.484284452
125,55,1,80773,1095.526237,0.475722733
126,1,0,41179,411.7592782,0.438968559
127,0,0,0,411.7592782,0.51756924
128,0,0,0,0,0.469356619
129,0,0,1585,180,0.436901926
130,0,0,167836,1643,0.485890541
131,0,0,0,0,0.438968559
132,0,0,190,160,0.443323077
133,0,0,821,304,0.487602257
134,0,0,644,57,0.485890541
135,0,0,312,121,0.518312301
136,0,0,12228,284,0.485890541
137,0,0,2446,181,0.485890541
138,0,0,0,0,0.487602257
139,0,0,73,1,0.453062853
140,0,0,6025,715,0.492578724
141,0,0,97,115,0.472592442
142,0,0,1260,2655,0.478161871
143,0,0,18525,1867,0.475722733
144,0,0,30199,1296,0.485890541
145,1,0,723,289,0.476715452
146,0,0,12368,4917,0.486962374
147,0,0,7269,354,0.485890541
148,0,0,403,107,0.469926506
149,0,0,178,357,0.487602257
150,0,0,164,596,0.487602257
151,0,0,553,298,0.469926506
152,0,0,382,203,0.438968559
153,0,0,644,118,0.512768179
154,0,0,0,0,0.51756924
155,0,0,108277,1582,0.57262344
156,0,0,59484,454.0539905,0.438968559
157,0,0,0,0,0.469356619
158,0,0,709,282,0.450508115
159,0,0,407,301,0.473699895
160,0,0,10755,644,0.484284452
161,0,0,31352,776,0.46564235
162,0,0,222,91,0.545614955
